back away|[bæk əˈweɪ]|отступать, пятиться
hang out|[hæŋ aʊt]|приятно и непродуктивно провести время вместе
hit it off||быстро находить друзей
hold back|[həʊld bæk]|задерживаться, останавливаться
hurry up|[ˈhʌrɪ ʌp]|поторопиться
jump in|[ʤʌmp ɪn]|вмешиваться в разговор, вклиниваться
keep away from||держаться подальше от (детей)
kick back|[kɪk bæk]|расслабиться
kick off|[kɪk ɒf]|начать матч; скинуть обувь с ног
kick out|[kɪk aʊt]|выкапывать, избавляться
lay off|[leɪ ɒf]|уволить (сотрудников)
let down|[let daʊn]|разочаровывать кого-л.
live up to||соответствовать (задаче, идеалу)
log in|[lɒg ɪn]|вход в систему
log on|[lɒg ɒn]|вход в систему
log off|[lɒg ɒf]|выход из системы
log out|[lɒg aʊt]|выход из системы
look after|[lʊk ˈɑːftə]|заботиться о ком-л.
look around|[lʊk əˈraʊnd]|осмотреться
look down on||смотреть на кого-то с презрением
look up to||быть вдохновленным кем-то
look into||изучить
make for||двигаться в определенном направлении
make up for||догонять, компенсировать
mess up|[mes ʌp]|ошибиться
mess with sb||портить отношения с кем-л.
move on to||переходить к чему-либо (следующее место встречи)
nail down|[neɪl daʊn]|улаживать, прорабатывать детали; заставлять кого-то, подталкивать
narrow down|[ˈnærəʊ daʊn]|сужаться
nod off|[nɒd ɒf]|дремать
nose about||нюхать
nose around||искать
opt for|[ɒpt fɔː]|отстаивать что-л.
opt to do||решить сделать что-л.
pass away|[pɑːs əˈweɪ]|умереть
pass on|[pɑːs ɒn]|передавать информацию
pay back|[peɪ bæk]|возмещать что-л., отдать долг
pay off|[peɪ ɒf]|погасить
pin down|[pɪn daʊn]|прижиматься
piss off|[pɪs ɒf]|злить кого-л.
plug in|[plʌg ɪn]|подключаться
print out|[prɪnt aʊt]|распечатать
pull back|[pʊl bæk]|отступить
pull down|[pʊl daʊn]|снести
pull over|[pʊl ˈəʊvə]|остановить машину на обочине дороги
put back|[pʊt bæk]|перевести часы назад, перевести стрелки назад
put forward|[pʊt ˈfɔːwəd]|предложить перевести часы вперед, выдвинуть кандидатуру
put off|[pʊt ɒf]|отложивать на потом
put up with|[pʊt ʌp wɪð]|терпеть
ring back|[rɪŋ bæk]|перенабрать, перезвонить
rip off|[rɪp ɒf]|сдирать (давать слишком высокую цену)
rip sb off||требовать завышенную цену, обдирать
round up|[raʊnd ʌp]|округлять в большую сторону
round down|[raʊnd daʊn]|округлять в меньшую сторону
rule out|[ruːl aʊt]|исключить что-л. (возможность)
screw up|[skruː ʌp]|облажаться, потерпеть неудачу
sell out|[sel aʊt]|распродавать
set on doing sth||решиться сделать что-л.
show around||показывать кого-л.
show off|[ʃəʊ ɒf]|хвастаться
sleep in||спать дольше обычного, высыпаться
slow down|[sləʊ daʊn]|замедлиться (двигаться медленнее)
speak up|[spiːk ʌp]|говорить громко или громче
speed up|[spiːd ʌp]|что-л.) ускорять
stand back|[stænd bæk]|отступать
stand down|[stænd daʊn]|уйти в отставку
stand out from||быть легко заметным, выделяться
stand up to||возражать против чего-л., опускать себя
start over|[stɑːt ˈəʊvə]|перезапустить
stay away from||держаться подальше от кого-л./чего-л.
stay behind with||отставать (от чего-л.), задержаться
stay in|[steɪ ɪn]|оставаться дома
stay out|[steɪ aʊt]|не уходить домой
stay out of||не ввязываться в конфликт, держаться подальше от чего-то плохого
stay over||остаться на ночь
sleep over||остаться на ночь
stay up|[steɪ ʌp]|не ложиться спать
stick to the plan||держаться за что-л.
stock up|[stɒk ʌp]|запасаться
sum up|[sʌm ʌp]|заключать, подвести итог
take aback|[teɪk əˈbæk]|отступить
take after||вспоминать кого-то
take down|[teɪk daʊn]|поймать
take to||принять для
talk into||убедить кого-л. сделать что-л.
tell apart|[tel əˈpɑːt]|видеть разницу, различать
tell off||грубить кому-л.
think over|[θɪŋk ˈəʊvə]|переосмыслить что-л.
throw away|[θrəʊ əˈweɪ]|выбрасывать
throw in|[θrəʊ ɪn]|подкинуть
